USER COMMAND,INSTRUCTIONS,INPUT,XML BEHAVIOR TREE OUTPUT
Retrieve and transport medical supplies to designated locations for distribution.,"Use only the following behaviors to generate XML Behavior tree based on the user command: {retrieve_supplies: 'Action node: Retrieve medical supplies from designated location.
Returns: Always returns True, indicating the action was executed.', transport_supplies: 'Action node: Transport the supplies to designated distribution locations.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.",Retrieve and transport medical supplies to designated locations for distribution.,"
<BehaviorTree>
<Sequence>
<Action>retrieve_supplies</Action>
<Action>transport_supplies</Action>
</Sequence>
</BehaviorTree>"
Search and rescue mission to find and retrieve lost individuals.,"Use only the following behaviors to generate XML Behavior tree based on the user command: {search_area: 'Action node: Begin searching the designated search area.
Returns: Always returns True, indicating the action was executed.', is_individual_found: 'Condition node: Check if an individual is found in the search area.
Returns: True if an individual is found, otherwise False.', retrieve_individual: 'Action node: Retrieve the individual and return them to safety.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.",Search and rescue mission to find and retrieve lost individuals.,"
<BehaviorTree>
<Sequence>
<Action>search_area</Action>
<Selector>
<Sequence>
<Condition>is_individual_found</Condition>
<Action>retrieve_individual</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Investigate reported anomaly and collect data for analysis.,"Use only the following behaviors to generate XML Behavior tree based on the user command: {investigate_anomaly: 'Action node: Investigate the reported anomaly and collect any necessary data.
Returns: Always returns True, indicating the action was executed.', analyze_data: 'Action node: Send collected data to the main server for analysis.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.",Investigate reported anomaly and collect data for analysis.,"
<BehaviorTree>
<Sequence>
<Action>investigate_anomaly</Action>
<Action>analyze_data</Action>
</Sequence>
</BehaviorTree>"
Clean and maintain designated area.,"Use only the following behaviors to generate XML Behavior tree based on the user command: {clean_area: 'Action node: Begin cleaning the designated area.
Returns: Always returns True, indicating the action was executed.', maintain_area: 'Action node: Perform any necessary maintenance tasks to keep the area in good condition.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.",Clean and maintain designated area.,"
<BehaviorTree>
<Sequence>
<Action>clean_area</Action>
<Action>maintain_area</Action>
</Sequence>
</BehaviorTree>"
Patrol designated area and mark potential hazards for future removal.,"Use only the following behaviors to generate XML Behavior tree based on the user command: {patrol_area: 'Action node: Patrol the designated area.
Returns: Always returns True, indicating the action was executed.', is_hazard_present: 'Condition node: Check if a potential hazard is present.
Returns: True if a hazard is present, otherwise False.', mark_hazard: 'Action node: Mark the location of the potential hazard for future removal.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.",Patrol designated area and mark potential hazards for future removal.,"
<BehaviorTree>
<Sequence>
<Action>patrol_area</Action>
<Selector>
<Sequence>
<Condition>is_hazard_present</Condition>
<Action>mark_hazard</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Transport heavy materials to designated construction site.,"Use only the following behaviors to generate XML Behavior tree based on the user command: {load_materials: 'Action node: Load heavy materials onto transport vehicle.
Returns: Always returns True, indicating the action was executed.', transport_materials: 'Action node: Transport materials to designated construction site.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.",Transport heavy materials to designated construction site.,"
<BehaviorTree>
<Sequence>
<Action>load_materials</Action>
<Action>transport_materials</Action>
</Sequence>
</BehaviorTree>"
Survey designated area and map out topography.,"Use only the following behaviors to generate XML Behavior tree based on the user command: {survey_area: 'Action node: Begin surveying the designated area.
Returns: Always returns True, indicating the action was executed.', map_topography: 'Action node: Map out the topography of the area using collected data.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.",Survey designated area and map out topography.,"
<BehaviorTree>
<Sequence>
<Action>survey_area</Action>
<Action>map_topography</Action>
</Sequence>
</BehaviorTree>"
Inspect and repair damaged power lines in a specified area.,"Use only the following behaviors to generate XML Behavior tree based on the user command: {inspect_power_lines: 'Action node: Inspect the designated area for any damaged power lines.
Returns: Always returns True, indicating the action was executed.', is_damage_present: 'Condition node: Check if damage to power lines is present.
Returns: True if damage is present, otherwise False.', repair_lines: 'Action node: Repair any damaged power lines.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.",Inspect and repair damaged power lines in a specified area.,"
<BehaviorTree>
<Sequence>
<Action>inspect_power_lines</Action>
<Selector>
<Sequence>
<Condition>is_damage_present</Condition>
<Action>repair_lines</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Monitor and track weather patterns to predict potential disasters.,"Use only the following behaviors to generate XML Behavior tree based on the user command: {monitor_weather: 'Action node: Monitor and track weather patterns.
Returns: Always returns True, indicating the action was executed.', track_patterns: 'Action node: Use collected data to track patterns and predict potential disasters.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.",Monitor and track weather patterns to predict potential disasters.,"
<BehaviorTree>
<Sequence>
<Action>monitor_weather</Action>
<Action>track_patterns</Action>
</Sequence>
</BehaviorTree>"
Search and retrieve lost equipment in a designated area.,"Use only the following behaviors to generate XML Behavior tree based on the user command: {search_area: 'Action node: Begin searching the designated area.
Returns: Always returns True, indicating the action was executed.', is_equipment_found: 'Condition node: Check if the lost equipment is found.
Returns: True if equipment is found, otherwise False.', retrieve_equipment: 'Action node: Retrieve the lost equipment.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.",Search and retrieve lost equipment in a designated area.,"
<BehaviorTree>
<Sequence>
<Action>search_area</Action>
<Selector>
<Sequence>
<Condition>is_equipment_found</Condition>
<Action>retrieve_equipment</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Monitor wildlife in a designated conservation area and report any anomalies.,"Use only the following behaviors to generate XML Behavior tree based on the user command: {monitor_wildlife: 'Action node: Monitor the designated conservation area for any wildlife activity.
Returns: Always returns True, indicating the action was executed.', is_anomaly_detected: 'Condition node: Check if any anomalies in wildlife behavior are detected.
Returns: True if an anomaly is detected, otherwise False.', report_anomaly: 'Action node: Report the anomaly to park rangers.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.",Monitor wildlife in a designated conservation area and report any anomalies.,"
<BehaviorTree>
<Sequence>
<Action>monitor_wildlife</Action>
<Selector>
<Sequence>
<Condition>is_anomaly_detected</Condition>
<Action>report_anomaly</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Find and collect all resources within a given area.,Use the following behaviors to generate XML Behavior tree based on the user command: find_resource: Condition node - Checks if there is a resource within a given area. collect_resource: Action node - Collects the resource at the agent's current location. move_to_resource: Action node - Moves the agent to the location of the nearest resource. search_area: Subtree node - Represents a behavior tree for searching the given area for resources.,Find and collect all resources within a given area.,"
<BehaviorTree>
<Selector>
<Sequence>
<Condition>find_resource</Condition>
<Action>collect_resource</Action>
<Action>move_to_resource</Action>
</Sequence>
<Action>search_area</Action>
</Selector>
</BehaviorTree>"
Navigate through a maze while avoiding obstacles.,Use the following behaviors to generate XML Behavior tree based on the user command: random_move: Action node - Makes the agent randomly move to an adjacent location. check_obstacle: Condition node - Checks if there is an obstacle in the agent's current location. move_around_obstacle: Action node - Makes the agent move around the obstacle to continue navigation. move_to_exit: Action node - Moves the agent to the exit of the maze. navigate_maze: Subtree node - Represents a behavior tree for navigating through the maze.,Navigate through a maze while avoiding obstacles.,"
<BehaviorTree>
<Sequence>
<Action>move_to_exit</Action>
<Selector>
<Sequence>
<Condition>check_obstacle</Condition>
<Action>move_around_obstacle</Action>
</Sequence>
<Action>random_move</Action>
</Selector>
</Sequence>
</BehaviorTree>"
Work together to carry a heavy object to a specified location.,Use the following behaviors to generate XML Behavior tree based on the user command: get_heavy_object: Action node - Retrieves the heavy object at the agent's current location. carry_heavy_object: Action node - Carries the heavy object to the specified location. proximity_check: Condition node - Checks if another agent is within a certain distance. coordinate_movement: Action node - Coordinates movement with another agent while carrying the heavy object. move_to_destination: Action node - Moves the agent to the specified destination. carry_object_together: Subtree node - Represents a behavior tree for coordinating and carrying the heavy object together.,Work together to carry a heavy object to a specified location.,"
<BehaviorTree>
<Sequence>
<Action>get_heavy_object</Action>
<Selector>
<Sequence>
<Condition>proximity_check</Condition>
<Action>coordinate_movement</Action>
</Sequence>
<Action>carry_heavy_object</Action>
</Selector>
<Action>move_to_destination</Action>
</Sequence>
</BehaviorTree>"
Explore the environment and collect data.,Use the following behaviors to generate XML Behavior tree based on the user command: explore_area: Action node - Moves the agent to an unexplored area. collect_data: Action node - Collects data at the agent's current location. explore_and_collect: Subtree node - Represents a behavior tree for exploring and collecting data.,Explore the environment and collect data.,"
<BehaviorTree>
<Sequence>
<Action>explore_and_collect</Action>
<Action>explore_area</Action>
<Action>collect_data</Action>
</Sequence>
</BehaviorTree>"
Follow a designated leader while maintaining a specific formation.,Use the following behaviors to generate XML Behavior tree based on the user command: follow_leader: Action node - Makes the agent follow the designated leader. maintain_formation: Action node - Maintains a specific formation with the leader. change_formation: Action node - Changes the formation if necessary. designated_leader: Condition node - Checks if the agent is the designated leader. form_formation: Subtree node - Represents a behavior tree for forming and maintaining the specific formation.,Follow a designated leader while maintaining a specific formation.,"
<BehaviorTree>
<Selector>
<Sequence>
<Condition>designated_leader</Condition>
<Action>form_formation</Action>
</Sequence>
<Action>follow_leader</Action>
<Action>maintain_formation</Action>
<Action>change_formation</Action>
</Selector>
</BehaviorTree>"
Perform a coordinated dance routine.,Use the following behaviors to generate XML Behavior tree based on the user command: synchronize_moves: Action node - Synchronizes the agent's moves with other dancers. follow_routine: Action node - Follows the designated dance routine. change_moves: Action node - Changes dance moves if necessary. learn_routine: Subtree node - Represents a behavior tree for learning and performing the coordinated dance routine.,Perform a coordinated dance routine.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>learn_routine</Action>
<Action>follow_routine</Action>
<Action>synchronize_moves</Action>
</Sequence>
<Action>change_moves</Action>
</Selector>
</BehaviorTree>"
Work together to overcome an obstacle.,Use the following behaviors to generate XML Behavior tree based on the user command: get_object: Action node - Retrieves the object the agent needs help with. help_with_object: Action node - Assists the other agent in overcoming the obstacle. check_status: Condition node - Checks if the other agent has successfully overcome the obstacle. move_to_assist: Action node - Moves the agent to assist the other agent if necessary. overcome_obstacle: Subtree node - Represents a behavior tree for working together to overcome an obstacle.,Work together to overcome an obstacle.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>get_object</Action>
<Action>move_to_assist</Action>
<Action>help_with_object</Action>
</Sequence>
<Condition>check_status</Condition>
<Action>overcome_obstacle</Action>
</Selector>
</BehaviorTree>"
Gather information about a targeted location and report back.,Use the following behaviors to generate XML Behavior tree based on the user command: scout_location: Action node - Moves the agent to the targeted location. gather_info: Action node - Gathers information about the location. return_info: Action node - Returns the information to the designated location. report_info: Subtree node - Represents a behavior tree for gathering and reporting information.,Gather information about a targeted location and report back.,"
<BehaviorTree>
<Sequence>
<Action>report_info</Action>
<Action>gather_info</Action>
<Action>return_info</Action>
<Action>scout_location</Action>
</Sequence>
</BehaviorTree>"
Find and retrieve a lost item.,Use the following behaviors to generate XML Behavior tree based on the user command: find_lost_item: Condition node - Checks if the lost item is within a certain radius. retrieve_item: Action node - Retrieves the lost item at the agent's current location. search_area: Subtree node - Represents a behavior tree for searching the designated area for the lost item.,Find and retrieve a lost item.,"
<BehaviorTree>
<Selector>
<Sequence>
<Condition>find_lost_item</Condition>
<Action>retrieve_item</Action>
</Sequence>
<Action>search_area</Action>
</Selector>
</BehaviorTree>"
Work together to build a structure.,Use the following behaviors to generate XML Behavior tree based on the user command: get_materials: Action node - Retrieves the necessary materials for building the structure. build_structure: Action node - Builds the structure with the materials at the agent's current location. check_progress: Condition node - Checks if the structure is successfully being built. coordinate_building: Action node - Coordinates building with other agents involved. work_together: Subtree node - Represents a behavior tree for working together to build a structure.,Work together to build a structure.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>get_materials</Action>
<Action>coordinate_building</Action>
<Action>build_structure</Action>
</Sequence>
<Action>check_progress</Action>
<Action>work_together</Action>
</Selector>
</BehaviorTree>"
Patrol a designated area and report any anomalies.,Use the following behaviors to generate XML Behavior tree based on the user command: patrol_area: Action node - Moves the agent to designated patrol points. report_anomaly: Action node - Reports any anomalies found at the agent's current location. receive_info: Action node - Receives information from other agents patrolling the area. analyze_info: Action node - Analyzes the received information to determine if an anomaly is present. anomaly_detection: Subtree node - Represents a behavior tree for patrolling and reporting anomalies.,Patrol a designated area and report any anomalies.,"
<BehaviorTree>
<Sequence>
<Action>anomaly_detection</Action>
<Action>patrol_area</Action>
<Action>report_anomaly</Action>
</Sequence>
<Action>receive_info</Action>
<Action>analyze_info</Action>
</BehaviorTree>"
Perform a coordinated rescue mission.,Use the following behaviors to generate XML Behavior tree based on the user command: find_victim: Condition node - Checks if there is a victim within a certain proximity. rescue_victim: Action node - Rescues the victim at the agent's current location. coordinate_rescue: Action node - Coordinates with other agents involved in the rescue mission. move_to_victim: Action node - Moves the agent to the victim's location. perform_rescue: Subtree node - Represents a behavior tree for performing a coordinated rescue mission.,Perform a coordinated rescue mission.,"
<BehaviorTree>
<Selector>
<Sequence>
<Condition>find_victim</Condition>
<Action>move_to_victim</Action>
<Action>coordinate_rescue</Action>
<Action>rescue_victim</Action>
</Sequence>
<Action>perform_rescue</Action>
</Selector>
</BehaviorTree>"
Coordinate and execute a synchronized swarm attack.,Use the following behaviors to generate XML Behavior tree based on the user command: locate_target: Action node - Moves the agent to the designated target location. surround_target: Action node - Surrounds the target location with other agents. attack_target: Action node - Performs a coordinated swarm attack on the target. coordinate_attack: Subtree node - Represents a behavior tree for coordinating and executing a synchronized swarm attack.,Coordinate and execute a synchronized swarm attack.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>locate_target</Action>
<Action>surround_target</Action>
<Action>attack_target</Action>
</Sequence>
<Action>coordinate_attack</Action>
</Selector>
</BehaviorTree>"
Navigate through a hazardous environment while avoiding danger.,Use the following behaviors to generate XML Behavior tree based on the user command: random_move: Action node - Moves the agent to a random location. check_danger: Condition node - Checks if there is a danger in the agent's current location. move_around_danger: Action node - Helps the agent avoid the danger by moving around it. move_to_safety: Action node - Moves the agent to a safe location. navigate_hazard: Subtree node - Represents a behavior tree for navigating through a hazardous environment while avoiding danger.,Navigate through a hazardous environment while avoiding danger.,"
<BehaviorTree>
<Selector>
<Sequence>
<Condition>check_danger</Condition>
<Action>move_around_danger</Action>
</Sequence>
<Action>random_move</Action>
<Action>move_to_safety</Action>
</Selector>
</BehaviorTree>"
Protect and defend a designated area.,Use the following behaviors to generate XML Behavior tree based on the user command: patrol_area: Action node - Moves the agent to designated patrol points. defend_area: Action node - Defends the designated area from any threats. receive_info: Action node - Receives information from other agents patrolling the area. analyze_info: Action node - Analyzes the received information to determine if there is a threat. protect_area: Subtree node - Represents a behavior tree for patrolling and protecting a designated area.,Protect and defend a designated area.,"
<BehaviorTree>
<Sequence>
<Action>protect_area</Action>
<Action>patrol_area</Action>
<Action>defend_area</Action>
</Sequence>
<Action>receive_info</Action>
<Action>analyze_info</Action>
</BehaviorTree>"
Find and destroy enemy targets.,Use the following behaviors to generate XML Behavior tree based on the user command: locate_target: Action node - Moves the agent to the designated target location. destroy_target: Action node - Destroys the designated target. check_status: Condition node - Checks if the target has been successfully destroyed. move_to_target: Action node - Moves the agent closer to the target if necessary. engage_target: Subtree node - Represents a behavior tree for locating and destroying enemy targets.,Find and destroy enemy targets.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>locate_target</Action>
<Action>move_to_target</Action>
<Action>destroy_target</Action>
</Sequence>
<Action>check_status</Action>
<Action>engage_target</Action>
</Selector>
</BehaviorTree>"
Work together to defend against a common threat.,Use the following behaviors to generate XML Behavior tree based on the user command: locate_threat: Action node - Moves the agent to the designated threat location. coordinate_defense: Action node - Coordinates with other agents to defend against the threat. defend_against_threat: Action node - Performs a coordinated defense against the threat. protect_all: Subtree node - Represents a behavior tree for protecting against a common threat.,Work together to defend against a common threat.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>locate_threat</Action>
<Action>coordinate_defense</Action>
<Action>defend_against_threat</Action>"
"If the battery is low, go to the charging station. Otherwise, continue to explore the environment.",Use the following behaviors to generate XML Behavior tree based on the user command: is_battery_low: Condition node - Checks if the battery level is below a specified threshold. go_to_charging_station: Action node - Makes the agent navigate to the nearest charging station. explore_environment: Action node (same as before).,"If the battery is low, go to the charging station. Otherwise, continue to explore the environment.","
<BehaviorTree>
<Selector>
<Sequence>
<Condition>is_battery_low</Condition>
<Action>go_to_charging_station</Action>
</Sequence>
<Action>explore_environment</Action>
</Selector>
</BehaviorTree>"
Collect resources and bring them to the base.,Use the following behaviors to generate XML Behavior tree based on the user command: collect_resources: Action node - Makes the agent collect nearby resources. bring_to_base: Action node - Makes the agent navigate to the base and drop off gathered resources.,Collect resources and bring them to the base.,"
<BehaviorTree>
<Sequence>
<Action>collect_resources</Action>
<Action>bring_to_base</Action>
</Sequence>
</BehaviorTree>"
"If there is an obstacle, take a different path. Otherwise, continue towards the destination.",Use the following behaviors to generate XML Behavior tree based on the user command: is_obstacle_present: Condition node - Checks if there is an obstacle in the agent's path. take_different_path: Action node - Makes the agent navigate around the obstacle. move_towards_destination: Action node (same as before).,"If there is an obstacle, take a different path. Otherwise, continue towards the destination.","
<BehaviorTree>
<Selector>
<Sequence>
<Condition>is_obstacle_present</Condition>
<Action>take_different_path</Action>
</Sequence>
<Action>move_towards_destination</Action>
</Selector>
</BehaviorTree>"
"Pick up object, rotate 180 degrees, and place it at a specific location.",Use the following behaviors to generate XML Behavior tree based on the user command: pick_up_object: Action node - Makes the agent pick up a nearby object. rotate_180: Action node - Makes the agent turn 180 degrees. place_at_location: Action node - Makes the agent navigate to a specific location and place the object.,"Pick up object, rotate 180 degrees, and place it at a specific location.","
<BehaviorTree>
<Sequence>
<Action>pick_up_object</Action>
<Action>rotate_180</Action>
<Action>place_at_location</Action>
</Sequence>
</BehaviorTree>"
Move to the nearest teammate and form a defensive formation.,Use the following behaviors to generate XML Behavior tree based on the user command: move_to_teammate: Action node - Makes the agent navigate to the nearest teammate. form_defensive_formation: Action node - Makes the agent position itself in a defensive formation with its teammate.,Move to the nearest teammate and form a defensive formation.,"
<BehaviorTree>
<Sequence>
<Action>move_to_teammate</Action>
<Action>form_defensive_formation</Action>
</Sequence>
</BehaviorTree>"
"If there are no nearby resources, explore the environment. Otherwise, collect the nearest resource.",Use the following behaviors to generate XML Behavior tree based on the user command: is_resource_nearby: Condition node - Checks if there is a nearby resource. explore_environment: Action node - Makes the agent explore the environment. collect_nearest_resource: Action node - Makes the agent collect the nearest resource.,"If there are no nearby resources, explore the environment. Otherwise, collect the nearest resource.","
<BehaviorTree>
<Selector>
<Sequence>
<Condition>is_resource_nearby</Condition>
<Action>collect_nearest_resource</Action>
</Sequence>
<Action>explore_environment</Action>
</Selector>
</BehaviorTree>"
Scan for enemy drones using infrared sensors and engage if detected.,Use the following behaviors to generate XML Behavior tree based on the user command: scan_for_enemies: Action node - Makes the agent use infrared sensors to scan for nearby enemies. engage_enemy: Action node - Makes the agent engage the enemy if detected.,Scan for enemy drones using infrared sensors and engage if detected.,"
<BehaviorTree>
<Sequence>
<Action>scan_for_enemies</Action>
<Action>engage_enemy</Action>
</Sequence>
</BehaviorTree>"
Follow the leader and maintain a specific distance.,Use the following behaviors to generate XML Behavior tree based on the user command: follow_leader: Action node - Makes the agent follow the designated leader. maintain_distance: Action node - Makes the agent maintain a specific distance from the leader.,Follow the leader and maintain a specific distance.,"
<BehaviorTree>
<Sequence>
<Action>follow_leader</Action>
<Action>maintain_distance</Action>
</Sequence>
</BehaviorTree>"
Detect and avoid obstacles while navigating to a specific location.,Use the following behaviors to generate XML Behavior tree based on the user command: detect_obstacles: Action node - Makes the agent use sensors to detect obstacles in its path. avoid_obstacles: Action node - Makes the agent navigate around detected obstacles. navigate_to_location: Action node - Makes the agent navigate to a specified location.,Detect and avoid obstacles while navigating to a specific location.,"
<BehaviorTree>
<Sequence>
<Action>detect_obstacles</Action>
<Action>avoid_obstacles</Action>
<Action>navigate_to_location</Action>
</Sequence>
</BehaviorTree>"
"If there is a teammate nearby, coordinate movement and avoid collisions.",Use the following behaviors to generate XML Behavior tree based on the user command: is_teammate_nearby: Condition node - Checks if there is a teammate within a specified range. coordinate_movement: Action node - Makes the agent coordinate movement with its teammate to avoid collisions.,"If there is a teammate nearby, coordinate movement and avoid collisions.","
<BehaviorTree>
<Selector>
<Sequence>
<Condition>is_teammate_nearby</Condition>
<Action>coordinate_movement</Action>
</Sequence>
<Action>move_independently</Action>
</Selector>
</BehaviorTree>"
Search for and gather all resources within a specific area.,Use the following behaviors to generate XML Behavior tree based on the user command: search_for_resources: Action node - Makes the agent use sensors to search for resources within a specific area. gather_resources: Action node - Makes the agent gather any detected resources.,Search for and gather all resources within a specific area.,"
<BehaviorTree>
<Sequence>
<Action>search_for_resources</Action>
<Action>gather_resources</Action>
</Sequence>
</BehaviorTree>"
Patrol a designated area and react to any detected intruders.,Use the following behaviors to generate XML Behavior tree based on the user command: patrol_area: Action node - Makes the agent move within a designated area. detect_intruders: Action node - Makes the agent use sensors to detect any intruders in its path. react_to_intruders: Action node - Makes the agent perform a defensive action upon detecting an intruder.,Patrol a designated area and react to any detected intruders.,"
<BehaviorTree>
<Sequence>
<Action>patrol_area</Action>
<Action>detect_intruders</Action>
<Action>react_to_intruders</Action>
</Sequence>
</BehaviorTree>"
"If a teammate is under attack, provide backup support and defend them.",Use the following behaviors to generate XML Behavior tree based on the user command: is_teammate_under_attack: Condition node - Checks if a teammate is currently engaged in combat. provide_back_support: Action node - Makes the agent provide backup support to the teammate. defend_teammate: Action node - Makes the agent defend the teammate in danger.,"If a teammate is under attack, provide backup support and defend them.","
<BehaviorTree>
<Selector>
<Sequence>
<Condition>is_teammate_under_attack</Condition>
<Action>provide_back_support</Action>
</Sequence>
<Action>defend_teammate</Action>
</Selector>
</BehaviorTree>"
Use swarm tactics to surround and capture a target object.,Use the following behaviors to generate XML Behavior tree based on the user command: surround_target: Action node - Makes the agent position itself strategically around the target object. capture_target: Action node - Makes the agent use its grasping mechanism to capture the target object.,Use swarm tactics to surround and capture a target object.,"
<BehaviorTree>
<Sequence>
<Action>surround_target</Action>
<Action>capture_target</Action>
</Sequence>
</BehaviorTree>"
Communicate with nearby agents and coordinate movement for a synchronized task.,Use the following behaviors to generate XML Behavior tree based on the user command: communicate_with_teammates: Action node - Makes the agent send and receive signals to communicate with nearby agents. coordinate_movement: Action node - Makes the agent coordinate movement with the other agents for a synchronized task.,Communicate with nearby agents and coordinate movement for a synchronized task.,"
<BehaviorTree>
<Sequence>
<Action>communicate_with_teammates</Action>
<Action>coordinate_movement</Action>
</Sequence>
</BehaviorTree>"
"If the environment changes, adapt and update the behavior tree accordingly.",Use the following behaviors to generate XML Behavior tree based on the user command: is_environment_changed: Condition node - Checks if there have been any updates in the environment. adapt_to_changes: Action node - Makes the agent adjust and update its behavior tree accordingly.,"If the environment changes, adapt and update the behavior tree accordingly.","
<BehaviorTree>
<Selector>
<Sequence>
<Condition>is_environment_changed</Condition>
<Action>adapt_to_changes</Action>
</Sequence>
<Action>continue_with_original_tree</Action>
</Selector>
</BehaviorTree>"
Perform a coordinated task with other agents to achieve a collective goal.,Use the following behaviors to generate XML Behavior tree based on the user command: perform_coordinated_task: Action node - Makes the agent collaborate with other agents to perform a specific task. achieve_collective_goal: Action node - Makes the agent work together with other agents to achieve a collective goal.,Perform a coordinated task with other agents to achieve a collective goal.,"
<BehaviorTree>
<Sequence>
<Action>perform_coordinated_task</Action>
<Action>achieve_collective_goal</Action>
</Sequence>
</BehaviorTree>"
Patrol a specific area and report any suspicious activity.,"Use the following behaviors to generate XML Behavior tree based on the user command: patrol_area: Subtree node - Represents a behavior tree for patrolling a designated area.
check_for_suspicious_activity: Action node - Scans the surroundings for any suspicious activity and reports if found.",Patrol a specific area and report any suspicious activity.,"
<BehaviorTree>
<Sequence>
<Action>patrol_area</Action>
<Action>check_for_suspicious_activity</Action>
</Sequence>
</BehaviorTree>"
Follow the leader robot while avoiding obstacles.,"Use the following behaviors to generate XML Behavior tree based on the user command: follow_leader: Action node - Utilizes a leader-follower strategy to move in the same direction as the leader robot.
avoid_obstacles: Subtree node - Represents a behavior tree for obstacle avoidance.",Follow the leader robot and avoid obstacles.,"
<BehaviorTree>
<Sequence>
<Action>follow_leader</Action>
<Subtree>avoid_obstacles</Subtree>
</Sequence>
</BehaviorTree>"
Scan the environment and report any hazards.,"Use the following behaviors to generate XML Behavior tree based on the user command: scan_environment: Action node - Scans the surroundings for any hazards and reports if found.
report_hazards: Action node - Reports any detected hazards.",Scan the environment and report any hazards.,"
<BehaviorTree>
<Sequence>
<Action>scan_environment</Action>
<Action>report_hazards</Action>
</Sequence>
</BehaviorTree>"
Collect resources and deposit them at a designated location.,"Use the following behaviors to generate XML Behavior tree based on the user command: collect_resources: Subtree node - Represents a behavior tree for resource collection.
deposit_resources: Action node - Moves to the designated location and deposits collected resources.",Collect resources and deposit them at a designated location.,"
<BehaviorTree>
<Sequence>
<Subtree>collect_resources</Subtree>
<Action>deposit_resources</Action>
</Sequence>
</BehaviorTree>"
Coordinate movements with nearby robots to form a circle.,Use the following behaviors to generate XML Behavior tree based on the user command: coordinate_movements: Action node - Utilizes communication with nearby robots to form a coordinated circle movement.,Coordinate movements with nearby robots to form a circle.,"
<BehaviorTree>
<Sequence>
<Action>coordinate_movements</Action>
</Sequence>
</BehaviorTree>"
perform a specific dance routine.,Use the following behaviors to generate XML Behavior tree based on the user command: execute_dance: Action node - Performs a predetermined dance routine.,Perform a specific dance routine.,"
<BehaviorTree>
<Sequence>
<Action>execute_dance</Action>
</Sequence>
</BehaviorTree>"
Work together to stack objects in a specific order.,Use the following behaviors to generate XML Behavior tree based on the user command: stack_objects: Subtree node - Represents a behavior tree for coordinating and stacking objects in a specific order.,Work together to stack objects in a specific order.,"
<BehaviorTree>
<Sequence>
<Subtree>stack_objects</Subtree>
</Sequence>
</BehaviorTree>"
Communicate and perform synchronized movements with another robot.,Use the following behaviors to generate XML Behavior tree based on the user command: communicate: Action node - Sends and receives messages from another robot. perform_synchronized_movement: Subtree node - Represents a behavior tree for coordinating synchronized movements.,Communicate and perform synchronized movements with another robot.,"
<BehaviorTree>
<Sequence>
<Action>communicate</Action>
<Subtree>perform_synchronized_movement</Subtree>
</Sequence>
</BehaviorTree>"
Search and rescue a lost robot.,"Use the following behaviors to generate XML Behavior tree based on the user command: search_for_lost_robot: Action node - Utilizes communication with other robots to search for the lost robot.
rescue_lost_robot: Action node - Executes a rescue procedure once the lost robot is found.",Search and rescue a lost robot.,"
<BehaviorTree>
<Sequence>
<Action>search_for_lost_robot</Action>
<Action>rescue_lost_robot</Action>
</Sequence>
</BehaviorTree>"
Form a line and move together to a designated location.,"Use the following behaviors to generate XML Behavior tree based on the user command: form_line: Action node - Utilizes communication with nearby robots to form a line and move together.
move_to_designated_location: Action node - Moves to a specified location.",Form a line and move together to a designated location.,"
<BehaviorTree>
<Sequence>
<Action>form_line</Action>
<Action>move_to_designated_location</Action>
</Sequence>
</BehaviorTree>"
Guard a specific area and alert nearby robots of any approaching threats.,"Use the following behaviors to generate XML Behavior tree based on the user command: guard_area: Action node - Stays in a designated area and monitors for any approaching threats.
alert_nearby_robots: Action node - Sends an alert message to nearby robots if a threat is detected.",Guard a specific area and alert nearby robots of any approaching threats.,"
<BehaviorTree>
<Sequence>
<Action>guard_area</Action>
<Action>alert_nearby_robots</Action>
</Sequence>
</BehaviorTree>"
